PULocationID,ave_pickup,ave_dropoff,sum_pickup,sum_dropoff
1,0.467261905,0.467261905,314,314
2,0.004464286,0.004464286,3,3
3,0.321428571,0.321428571,216,216
4,15.86309524,15.83928571,10660,10644
5,0.001488095,0.001488095,1,1
6,0.132440476,0.132440476,89,89
7,8.044642857,8.037202381,5406,5401
8,0.03125,0.03125,21,21
9,0.168154762,0.168154762,113,113
10,2.117559524,2.116071429,1423,1422
11,0.40327381,0.40327381,271,271
12,1.226190476,1.226190476,824,824
13,32.24553571,32.23660714,21669,21663
14,1.918154762,1.916666667,1289,1288
15,0.174107143,0.174107143,117,117
16,0.330357143,0.330357143,222,222
17,3.706845238,3.706845238,2491,2491
18,0.8125,0.80952381,546,544
19,0.452380952,0.452380952,304,304
20,0.474702381,0.474702381,319,319
21,0.558035714,0.555059524,375,373
22,0.888392857,0.888392857,597,597
23,0.037202381,0.037202381,25,25
24,14.47172619,14.46279762,9725,9719
25,5.02827381,5.016369048,3379,3371
26,1.476190476,1.476190476,992,992
27,0.020833333,0.020833333,14,14
28,1.59077381,1.59077381,1069,1069
29,0.511904762,0.511904762,344,344
30,0.025297619,0.025297619,17,17
31,0.06547619,0.06547619,44,44
32,0.498511905,0.498511905,335,335
33,5.383928571,5.37797619,3618,3614
34,0.575892857,0.575892857,387,387
35,3.09672619,3.09672619,2081,2081
36,2.927083333,2.919642857,1967,1962
37,4.355654762,4.34375,2927,2919
38,0.441964286,0.441964286,297,297
39,3.5,3.498511905,2352,2351
40,1.617559524,1.611607143,1087,1083
41,21.27380952,21.25744048,14296,14285
42,12.64732143,12.63095238,8499,8488
43,65.68303571,65.67708333,44139,44135
44,0,0,0,0
45,10.57142857,10.54910714,7104,7089
46,0.055059524,0.055059524,37,37
47,0.741071429,0.741071429,498,498
48,127.5074405,127.3958333,85685,85610
49,3.486607143,3.476190476,2343,2336
50,32.15922619,32.1264881,21611,21589
51,1.101190476,1.101190476,740,740
52,1.74702381,1.744047619,1174,1172
53,0.458333333,0.458333333,308,308
54,0.444940476,0.443452381,299,298
55,1.142857143,1.142857143,768,768
56,1.229166667,1.227678571,826,825
57,0.087797619,0.087797619,59,59
58,0.044642857,0.044642857,30,30
59,0.023809524,0.023809524,16,16
60,0.620535714,0.620535714,417,417
61,7.30952381,7.300595238,4912,4906
62,2.09077381,2.089285714,1405,1404
63,1.498511905,1.49702381,1007,1006
64,0.165178571,0.165178571,111,111
65,5.601190476,5.589285714,3764,3756
66,4.645833333,4.639880952,3122,3118
67,0.479166667,0.479166667,322,322
68,144.2767857,144.1979167,96954,96901
69,1.630952381,1.630952381,1096,1096
70,13.70833333,13.6875,9212,9198
71,2.223214286,2.223214286,1494,1494
72,2.790178571,2.788690476,1875,1874
73,0.157738095,0.157738095,106,106
74,17.70386905,17.69791667,11897,11893
75,38.27380952,38.26339286,25720,25713
76,5.327380952,5.324404762,3580,3578
77,1.40625,1.404761905,945,944
78,0.794642857,0.794642857,534,534
79,143.7127976,143.485119,96575,96422
80,4.424107143,4.410714286,2973,2964
81,0.584821429,0.584821429,393,393
82,3.821428571,3.816964286,2568,2565
83,1.380952381,1.380952381,928,928
84,0.001488095,0.001488095,1,1
85,1.796130952,1.794642857,1207,1206
86,0.717261905,0.717261905,482,482
87,31.52678571,31.49404762,21186,21164
88,15.6860119,15.67410714,10541,10533
89,4.136904762,4.135416667,2780,2779
90,86.49107143,86.41369048,58122,58070
91,2.452380952,2.450892857,1648,1647
92,1.34077381,1.339285714,901,900
93,0.668154762,0.668154762,449,449
94,0.410714286,0.410714286,276,276
95,3.401785714,3.395833333,2286,2282
96,0.071428571,0.071428571,48,48
97,5.480654762,5.473214286,3683,3678
98,0.293154762,0.293154762,197,197
99,0,0,0,0
100,75.85416667,75.82589286,50974,50955
101,0.3125,0.3125,210,210
102,0.772321429,0.772321429,519,519
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,1.150297619,1.138392857,773,765
107,109.0297619,108.9806548,73268,73235
108,0.5,0.5,336,336
109,0,0,0,0
110,0,0,0,0
111,0.010416667,0.010416667,7,7
112,4.474702381,4.470238095,3007,3004
113,79.99404762,79.94494048,53756,53723
114,86.91220238,86.78720238,58405,58321
115,0.035714286,0.035714286,24,24
116,7.773809524,7.770833333,5224,5222
117,0.671130952,0.669642857,451,450
118,0.032738095,0.032738095,22,22
119,0.803571429,0.803571429,540,540
120,0.044642857,0.044642857,30,30
121,0.788690476,0.788690476,530,530
122,0.458333333,0.458333333,308,308
123,0.822916667,0.819940476,553,551
124,0.59077381,0.59077381,397,397
125,28.70684524,28.68452381,19291,19276
126,0.790178571,0.790178571,531,531
127,1.188988095,1.188988095,799,799
128,0.074404762,0.074404762,50,50
129,4.87202381,4.870535714,3274,3273
130,5.099702381,5.092261905,3427,3422
131,0.776785714,0.776785714,522,522
132,186.6964286,186.4032738,125460,125263
133,1.177083333,1.177083333,791,791
134,1.44047619,1.44047619,968,968
135,0.732142857,0.732142857,492,492
136,0.514880952,0.514880952,346,346
137,61.14880952,61.12053571,41092,41073
138,126.2157738,126.0848214,84817,84729
139,0.549107143,0.549107143,369,369
140,106.8005952,106.78125,71770,71757
141,117.4181548,117.3720238,78905,78874
142,155.296131,155.2395833,104359,104321
143,60.56547619,60.55059524,40700,40690
144,62.34821429,62.29166667,41898,41860
145,9.40625,9.397321429,6321,6315
146,4.214285714,4.206845238,2832,2827
147,0.544642857,0.544642857,366,366
148,66.61458333,66.47619048,44765,44672
149,0.55952381,0.55952381,376,376
150,0.308035714,0.308035714,207,207
151,41.89136905,41.8764881,28151,28141
152,6.21577381,6.209821429,4177,4173
153,0.196428571,0.196428571,132,132
154,0.06547619,0.06547619,44,44
155,1.126488095,1.126488095,757,757
156,0.014880952,0.014880952,10,10
157,2.300595238,2.300595238,1546,1546
158,54.63988095,54.58482143,36718,36681
159,1.541666667,1.538690476,1036,1034
160,0.946428571,0.944940476,636,635
161,240.1949405,240.0863095,161411,161338
162,169.2276786,169.1815476,113721,113690
163,139.9910714,139.9449405,94074,94043
164,116.858631,116.7872024,78529,78481
165,1.016369048,1.016369048,683,683
166,32.46577381,32.45386905,21817,21809
167,1.110119048,1.110119048,746,746
168,3.308035714,3.303571429,2223,2220
169,1.00297619,1.00297619,674,674
170,144.7485119,144.6860119,97271,97229
171,0.360119048,0.358630952,242,241
172,0.037202381,0.037202381,25,25
173,0.8125,0.8125,546,546
174,0.681547619,0.681547619,458,458
175,0.239583333,0.239583333,161,161
176,0.005952381,0.005952381,4,4
177,2.550595238,2.550595238,1714,1714
178,0.3125,0.3125,210,210
179,3.197916667,3.193452381,2149,2146
180,0.755952381,0.754464286,508,507
181,4.991071429,4.974702381,3354,3343
182,1.092261905,1.092261905,734,734
183,0.205357143,0.205357143,138,138
184,0.026785714,0.026785714,18,18
185,0.427083333,0.427083333,287,287
186,168.7321429,168.6622024,113388,113341
187,0.004464286,0.004464286,3,3
188,4.473214286,4.46875,3006,3003
189,1.9375,1.931547619,1302,1298
190,0.303571429,0.303571429,204,204
191,1.040178571,1.040178571,699,699
192,0.263392857,0.263392857,177,177
193,3.15327381,3.15327381,2119,2119
194,0.178571429,0.178571429,120,120
195,1.474702381,1.474702381,991,991
196,1.47172619,1.470238095,989,988
197,4.084821429,4.084821429,2745,2745
198,2.22172619,2.220238095,1493,1492
199,0.00297619,0.00297619,2,2
200,0.375,0.375,252,252
201,0.261904762,0.261904762,176,176
202,0.40327381,0.401785714,271,270
203,0.543154762,0.543154762,365,365
204,0,0,0,0
205,1.379464286,1.379464286,927,927
206,0.013392857,0.013392857,9,9
207,0.28422619,0.28422619,191,191
208,0.535714286,0.535714286,360,360
209,10.22916667,10.21130952,6874,6862
210,0.892857143,0.891369048,600,599
211,48.11904762,48.07291667,32336,32305
212,0.892857143,0.892857143,600,600
213,1.333333333,1.333333333,896,896
214,0.056547619,0.056547619,38,38
215,1.891369048,1.891369048,1271,1271
216,4.248511905,4.245535714,2855,2853
217,0.797619048,0.797619048,536,536
218,1.032738095,1.03125,694,693
219,1.193452381,1.193452381,802,802
220,0.669642857,0.666666667,450,448
221,0.049107143,0.049107143,33,33
222,0.93452381,0.93452381,628,628
223,2.431547619,2.427083333,1634,1631
224,11.59375,11.58779762,7791,7787
225,3.505952381,3.501488095,2356,2353
226,9.081845238,9.069940476,6103,6095
227,0.760416667,0.760416667,511,511
228,2.194940476,2.193452381,1475,1474
229,84.10863095,84.08630952,56521,56506
230,170.4285714,170.2723214,114528,114423
231,75.4702381,75.39285714,50716,50664
232,11.93154762,11.90922619,8018,8003
233,57.28720238,57.26636905,38497,38483
234,152.7321429,152.6488095,102636,102580
235,0.995535714,0.992559524,669,667
236,220.3764881,220.3482143,148093,148074
237,234.0654762,234.0074405,157292,157253
238,102.2931548,102.2678571,68741,68724
239,139.8080357,139.7723214,93951,93927
240,0.101190476,0.101190476,68,68
241,0.6875,0.6875,462,462
242,0.772321429,0.772321429,519,519
243,3.00297619,3.00297619,2018,2018
244,8.113095238,8.09672619,5452,5441
245,0.007440476,0.007440476,5,5
246,98.61904762,98.58482143,66272,66249
247,1.90327381,1.90327381,1279,1279
248,0.769345238,0.769345238,517,517
249,128.3645833,128.1592262,86261,86123
250,0.864583333,0.863095238,581,580
251,0.023809524,0.023809524,16,16
252,0.367559524,0.366071429,247,246
253,0.02827381,0.02827381,19,19
254,1.139880952,1.139880952,766,766
255,6.96577381,6.931547619,4681,4658
256,5.729166667,5.71577381,3850,3841
257,0.602678571,0.602678571,405,405
258,1.532738095,1.529761905,1030,1028
259,0.671130952,0.671130952,451,451
260,3.610119048,3.607142857,2426,2424
261,23.94196429,23.92261905,16089,16076
262,73.74702381,73.73958333,49558,49553
263,99.5922619,99.54613095,66926,66895
